ID,User,nLos,D-Master,D-Slaver,D-Gate,Speed,x,y,z
143,1,0,69,34,73,0,-28,30,-1
144,1,0,71,26,73,6,-28,34,-1
145,1,0,69,28,73,5,-30,25,-1
146,1,0,68,30,73,3,-28,27,-1
147,1,0,68,31,73,4,-27,30,-1
148,1,0,70,24,73,7,-28,32,-1
149,1,0,69,31,73,2,-30,25,-1
150,1,0,69,31,73,2,-27,32,-1
151,1,0,68,28,73,2,-26,31,-1
152,1,0,70,28,73,3,-30,28,1
153,1,0,69,30,73,4,-29,28,0
154,1,0,69,29,73,2,-28,30,0
155,1,0,69,27,73,2,-28,30,0
156,1,0,69,23,73,0,-29,28,0
157,1,0,69,30,73,7,-31,23,0
158,1,0,68,24,73,1,-27,30,0
159,1,0,68,30,73,3,-29,25,-1
160,1,0,72,29,73,7,-31,30,-1
161,1,0,69,30,73,1,-28,30,-1
162,1,0,68,29,73,5,-27,30,-1
163,1,0,68,29,73,4,-27,30,-1
164,1,0,68,31,73,1,-27,30,-1
165,1,0,68,30,73,1,-26,31,-1
166,1,0,68,31,73,0,-27,30,-1
167,1,0,68,29,73,1,-26,31,-1
168,1,0,68,32,73,1,-27,30,-1
169,1,0,68,29,73,1,-26,31,-2
170,1,0,71,31,73,4,-30,30,-2
171,1,0,70,23,73,2,-28,32,-1
172,1,0,69,31,73,9,-31,23,-1
173,1,0,71,29,73,0,-30,30,-1
174,1,0,72,26,73,3,-31,30,-1
175,1,0,68,28,73,2,-29,25,-1
176,1,0,71,29,73,2,-31,28,-1
177,1,0,68,27,73,4,-27,30,-1
178,1,0,70,28,73,3,-30,28,-1
179,1,0,69,31,73,2,-29,28,-1
180,1,0,70,30,73,2,-28,32,-1
181,1,0,69,29,73,2,-28,30,-1
182,1,0,68,28,73,2,-27,30,-1
183,1,0,69,27,73,4,-29,28,-1
184,1,0,68,30,73,3,-28,27,-2
185,1,0,69,30,73,1,-28,30,-1
186,1,0,68,31,73,2,-27,30,-1
187,1,0,67,30,73,5,-25,31,-1
188,1,0,70,31,73,1,-29,30,-1
189,1,0,68,29,73,1,-26,31,-1
190,1,0,68,29,73,2,-27,30,-1
191,1,0,68,28,73,2,-27,30,-1
192,1,0,69,32,73,4,-29,28,-1
193,1,0,72,31,73,3,-30,32,-1
194,1,0,69,31,73,2,-27,32,-1
195,1,0,70,32,73,4,-28,32,-1
196,1,0,70,27,73,2,-28,32,-1
197,1,0,69,30,73,4,-29,28,-1
198,1,0,69,30,73,2,-28,30,-1
199,1,0,68,30,73,2,-27,30,-1
200,1,0,69,31,73,2,-28,30,-1
201,1,0,68,29,73,2,-26,31,-1
202,1,0,67,31,73,1,-26,29,-1
203,1,0,68,30,73,2,-26,31,-2
204,1,0,67,28,73,2,-26,29,-2
205,1,0,70,29,73,4,-30,28,-1
206,1,0,69,28,73,2,-28,30,-1
207,1,0,72,23,73,6,-32,28,-1
208,1,0,68,23,73,6,-30,22,-1
209,1,0,67,21,73,8,-29,22,-1
210,1,0,69,30,73,5,-31,23,-1
211,1,0,69,29,73,8,-28,30,-1
212,1,0,67,28,73,7,-26,29,-2
213,1,0,70,29,73,5,-30,28,-2
214,1,0,72,32,73,3,-31,30,-2
215,1,0,68,33,73,2,-26,31,-2
216,1,0,67,30,73,5,-25,31,-1
217,1,0,68,30,73,4,-27,30,-1
218,1,0,68,32,73,1,-27,30,-1
219,1,0,68,30,73,1,-26,31,-1
220,1,0,68,29,73,0,-27,30,-1
221,1,0,71,31,73,3,-30,30,-1
222,1,0,68,30,73,0,-26,31,-1
223,1,0,67,27,73,1,-26,29,-1
224,1,0,68,30,73,3,-28,27,-1
225,1,0,71,31,73,4,-30,30,-1
226,1,0,70,29,73,3,-28,32,-1
227,1,0,69,26,73,3,-28,30,-1
228,1,0,69,33,73,5,-30,25,-1
229,1,0,70,30,73,0,-28,32,-1
230,1,0,69,27,73,0,-28,30,-1
231,1,0,68,28,73,2,-28,27,-1
232,1,0,69,27,73,4,-29,28,-1
233,1,0,71,31,73,3,-31,28,-1
234,1,0,69,29,73,5,-27,32,-1
235,1,0,70,30,73,2,-29,30,-1
236,1,0,68,32,73,4,-27,30,-1
237,1,0,70,24,73,1,-28,32,-1
238,1,0,68,30,73,5,-29,25,-1
239,1,0,69,29,73,1,-28,30,-1
240,1,0,69,30,73,2,-28,30,-1
241,1,0,69,30,73,5,-28,30,-1
242,1,0,70,34,73,1,-29,30,-1
243,1,0,71,26,73,4,-28,34,-1
244,1,0,70,29,73,5,-31,25,-1
245,1,0,70,28,73,0,-29,30,-1
246,1,0,68,24,73,7,-28,27,-2
247,1,0,68,30,73,2,-29,25,-2
248,1,0,68,27,73,2,-27,30,-1
249,1,0,69,24,73,1,-29,28,-1
250,1,0,68,23,73,0,-29,25,-1
251,1,0,68,32,73,8,-30,22,-1
252,1,0,69,30,73,4,-27,32,-1
253,1,0,69,28,73,5,-28,30,-1
254,1,0,67,23,73,5,-27,27,-2
255,1,0,68,25,73,10,-30,22,-2
256,1,0,70,27,73,5,-31,25,-1
257,1,0,69,30,73,2,-29,28,-1
258,1,0,70,30,73,8,-29,30,-1
259,1,0,69,31,73,5,-28,30,-2
260,1,0,68,26,73,4,-26,31,-2
261,1,0,68,30,73,5,-29,25,-1
262,1,0,68,31,73,1,-27,29,-2
263,1,0,69,28,73,1,-27,32,-2
264,1,0,70,30,73,3,-30,28,-1
265,1,0,70,29,73,2,-29,30,-2
266,1,0,69,28,73,2,-28,30,-1
267,1,0,71,30,73,1,-31,28,-1
268,1,0,69,27,73,1,-28,30,-1
269,1,0,70,31,73,2,-30,28,-1
270,1,0,69,26,73,5,-27,32,-2
271,1,0,69,22,73,5,-30,25,-2
