2025-01-03 18:56:46 , INFO , ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z
2025-01-03 18:57:02 , INFO , 57, 1, 0, 71, 144, 100, 0, 0, 0, 80
2025-01-03 18:57:02 , INFO , 58, 1, 0, 73, 144, 100, 0, 0, 0, 80
2025-01-03 18:57:03 , INFO , 59, 1, 0, 73, 142, 100, 0, 0, 0, 80
2025-01-03 18:57:03 , INFO , 60, 1, 0, 74, 143, 100, 0, 0, 0, 80
2025-01-03 18:57:03 , INFO , 61, 1, 0, 72, 142, 100, 0, 0, 0, 80
2025-01-03 18:57:03 , INFO , 62, 1, 0, 72, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:04 , INFO , 63, 1, 0, 72, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:04 , INFO , 64, 1, 0, 75, 132, 100, 0, 0, 0, 80
2025-01-03 18:57:04 , INFO , 65, 1, 0, 75, 130, 100, 0, 0, 0, 80
2025-01-03 18:57:05 , INFO , 66, 1, 0, 73, 127, 100, 0, 0, 0, 80
2025-01-03 18:57:05 , INFO , 67, 1, 0, 72, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:05 , INFO , 68, 1, 0, 72, 119, 100, 0, 0, 0, 80
2025-01-03 18:57:06 , INFO , 69, 1, 0, 73, 129, 100, 0, 0, 0, 80
2025-01-03 18:57:06 , INFO , 70, 1, 0, 72, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:06 , INFO , 71, 1, 0, 73, 149, 100, 0, 0, 0, 80
2025-01-03 18:57:06 , INFO , 72, 1, 0, 73, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:07 , INFO , 73, 1, 0, 74, 123, 100, 0, 0, 0, 80
2025-01-03 18:57:07 , INFO , 74, 1, 0, 73, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:07 , INFO , 75, 1, 0, 74, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:07 , INFO , 76, 1, 0, 73, 121, 100, 0, 0, 0, 80
2025-01-03 18:57:08 , INFO , 77, 1, 0, 74, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:08 , INFO , 78, 1, 0, 74, 128, 100, 0, 0, 0, 80
2025-01-03 18:57:08 , INFO , 79, 1, 0, 73, 122, 100, 0, 0, 0, 80
2025-01-03 18:57:08 , INFO , 80, 1, 0, 75, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:09 , INFO , 81, 1, 0, 74, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:09 , INFO , 82, 1, 0, 73, 123, 100, 0, 0, 0, 80
2025-01-03 18:57:09 , INFO , 83, 1, 0, 74, 125, 100, 0, 0, 0, 80
2025-01-03 18:57:09 , INFO , 84, 1, 0, 73, 126, 100, 0, 0, 0, 80
2025-01-03 18:57:10 , INFO , 85, 1, 0, 73, 124, 100, 0, 0, 0, 80
2025-01-03 18:57:10 , INFO , 86, 1, 0, 74, 150, 100, 0, 0, 0, 80
